productId,name,card_number,rarity,card_type,hp,stage,retreat_cost,weakness,resistance,set_name,release_date,printing_type,market_price_usd
106996,Alakazam,001/102,Holo Rare,Psychic,80,Stage 2,3,P,,Base Set (Shadowless),1999-01-09,1st Edition Holofoil,328.13
106996,Alakazam,001/102,Holo Rare,Psychic,80,Stage 2,3,P,,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,305.49
106997,Blastoise,002/102,Holo Rare,Water,100,Stage 2,3,L,,Base Set (Shadowless),1999-01-09,1st Edition Holofoil,1300.0
106997,Blastoise,002/102,Holo Rare,Water,100,Stage 2,3,L,,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,894.04
106998,Chansey,003/102,Holo Rare,Psychic,120,Basic,1,F,P-30,Base Set (Shadowless),1999-01-09,1st Edition Holofoil,400.0
106998,Chansey,003/102,Holo Rare,Psychic,120,Basic,1,F,P-30,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,96.25
106999,Charizard,004/102,Holo Rare,Fire,120,Stage 2,3,W,F-30,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,1163.6
107000,Gyarados,006/102,Holo Rare,Water,100,Stage 1,3,G,F-30,Base Set (Shadowless),1999-01-09,1st Edition Holofoil,600.0
107000,Gyarados,006/102,Holo Rare,Water,100,Stage 1,3,G,F-30,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,120.41
107001,Clefairy,005/102,Holo Rare,Colorless,40,Basic,1,F,P-30,Base Set (Shadowless),1999-01-09,1st Edition Holofoil,335.47
107001,Clefairy,005/102,Holo Rare,Colorless,40,Basic,1,F,P-30,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,199.0
107002,Hitmonchan,007/102,Holo Rare,Fighting,70,Basic,2,P,,Base Set (Shadowless),1999-01-09,1st Edition Holofoil,292.5
107002,Hitmonchan,007/102,Holo Rare,Fighting,70,Basic,2,P,,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,97.09
107003,Magneton,009/102,Holo Rare,Lightning,60,Stage 1,1,F,,Base Set (Shadowless),1999-01-09,1st Edition Holofoil,407.5
107003,Magneton,009/102,Holo Rare,Lightning,60,Stage 1,1,F,,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,73.99
107005,Mewtwo,010/102,Holo Rare,Psychic,60,Basic,3,P,,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,316.74
107006,Nidoking,011/102,Holo Rare,Grass,90,Stage 2,3,P,,Base Set (Shadowless),1999-01-09,1st Edition Holofoil,329.99
107006,Nidoking,011/102,Holo Rare,Grass,90,Stage 2,3,P,,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,162.74
107007,Poliwrath,013/102,Holo Rare,Water,90,Stage 2,3,G,,Base Set (Shadowless),1999-01-09,1st Edition Holofoil,499.0
107007,Poliwrath,013/102,Holo Rare,Water,90,Stage 2,3,G,,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,158.64
107008,Ninetales,012/102,Holo Rare,Fire,80,Stage 1,1,W,,Base Set (Shadowless),1999-01-09,1st Edition Holofoil,800.0
107008,Ninetales,012/102,Holo Rare,Fire,80,Stage 1,1,W,,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,132.73
107009,Raichu,014/102,Holo Rare,Lightning,80,Stage 1,1,F,,Base Set (Shadowless),1999-01-09,1st Edition Holofoil,550.0
107009,Raichu,014/102,Holo Rare,Lightning,80,Stage 1,1,F,,Base Set (Shadowless),1999-01-09,Unlimited Holofoil,253.5
107010,Venusaur,015/102,Holo Rare,Grass,100,Stage 2,2,R,,Base Set (Shadowless),1999-01-09,1st Edition Holofoil,945.83
